"line_id","elev","elev_smooth","Xpos","Type","StemHeight","StemDiam","StemDensty","Cd","latitude","longitude"
9,32,33.5225450758878,-165,NA,NA,NA,NA,NA,48.9622747613302,-125.430327928123
9,32,33.3845203278362,-164,NA,NA,NA,NA,NA,48.9622686282735,-125.430317941324
9,32,33.2443999101216,-163,NA,NA,NA,NA,NA,48.9622624952159,-125.430307954527
9,32,33.1024283024733,-162,NA,NA,NA,NA,NA,48.9622563621573,-125.430297967733
9,32,32.9589271227545,-161,NA,NA,NA,NA,NA,48.9622502290979,-125.430287980941
9,32,32.8142937206086,-160,NA,NA,NA,NA,NA,48.9622440960375,-125.430277994152
9,32,32.6689303965998,-159,NA,NA,NA,NA,NA,48.9622379629763,-125.430268007365
9,32,32.5232426430549,-158,NA,NA,NA,NA,NA,48.9622318299141,-125.43025802058
9,32,32.3776373709483,-157,NA,NA,NA,NA,NA,48.962225696851,-125.430248033798
9,32,32.2324751016836,-156,NA,NA,NA,NA,NA,48.962219563787,-125.430238047018
9,32,32.0880683906249,-155,NA,NA,NA,NA,NA,48.9622134307221,-125.430228060241
9,32,31.9447264892727,-154,NA,NA,NA,NA,NA,48.9622072976563,-125.430218073466
9,32,31.8027539929853,-153,NA,NA,NA,NA,NA,48.9622011645895,-125.430208086694
9,32,31.6624495090613,-152,NA,NA,NA,NA,NA,48.9621950315219,-125.430198099924
9,32,31.5240583221048,-151,NA,NA,NA,NA,NA,48.9621888984534,-125.430188113157
9,32,31.3877713214588,-150,NA,NA,NA,NA,NA,48.9621827653839,-125.430178126392
9,32,31.2537701953944,-149,NA,NA,NA,NA,NA,48.9621766323135,-125.430168139629
9,32,31.1222266366352,-148,NA,NA,NA,NA,NA,48.9621704992423,-125.430158152869
9,32,30.9933015915881,-147,NA,NA,NA,NA,NA,48.9621643661701,-125.430148166112
9,32,30.8671905854664,-146,NA,NA,NA,NA,NA,48.962158233097,-125.430138179357
9,32,30.7441228673079,-145,NA,NA,NA,NA,NA,48.962152100023,-125.430128192604
9,32,30.6243143786264,-144,NA,NA,NA,NA,NA,48.962145966948,-125.430118205854
9,28,30.5079668091548,-143,NA,NA,NA,NA,NA,48.9621398338722,-125.430108219106
9,28,30.3952667149063,-142,NA,NA,NA,NA,NA,48.9621337007955,-125.43009823236
9,28,30.2863847024134,-141,NA,NA,NA,NA,NA,48.9621275677178,-125.430088245617
9,28,30.1814746827085,-140,NA,NA,NA,NA,NA,48.9621214346393,-125.430078258877
9,28,30.0806731983101,-139,NA,NA,NA,NA,NA,48.9621153015598,-125.430068272139
9,28,29.9840988261572,-138,NA,NA,NA,NA,NA,48.9621091684794,-125.430058285403
9,28,29.8918516591025,-137,NA,NA,NA,NA,NA,48.9621030353981,-125.43004829867
9,28,29.8040128682317,-136,NA,NA,NA,NA,NA,48.9620969023159,-125.43003831194
9,28,29.7206443479233,-135,NA,NA,NA,NA,NA,48.9620907692328,-125.430028325211
9,28,29.6417884451998,-134,NA,NA,NA,NA,NA,48.9620846361488,-125.430018338485
9,28,29.5674217456548,-133,NA,NA,NA,NA,NA,48.9620785030638,-125.430008351762
9,28,29.4974551758376,-132,NA,NA,NA,NA,NA,48.962072369978,-125.429998365041
9,28,29.4317804216502,-131,NA,NA,NA,NA,NA,48.9620662368912,-125.429988378323
9,28,29.3702704019765,-130,NA,NA,NA,NA,NA,48.9620601038036,-125.429978391607
9,28,29.3127798243762,-129,NA,NA,NA,NA,NA,48.962053970715,-125.429968404893
9,28,29.2591458204114,-128,NA,NA,NA,NA,NA,48.9620478376255,-125.429958418182
9,28,29.2091426289284,-127,NA,NA,NA,NA,NA,48.9620417045351,-125.429948431473
9,28,29.1624825832537,-126,NA,NA,NA,NA,NA,48.9620355714438,-125.429938444767
9,28,29.1188633979876,-125,NA,NA,NA,NA,NA,48.9620294383516,-125.429928458063
9,28,29.0779694908218,-124,NA,NA,NA,NA,NA,48.9620233052584,-125.429918471362
9,28,29.0394733625002,-123,NA,NA,NA,NA,NA,48.9620171721644,-125.429908484663
9,28,29.0030370288897,-122,NA,NA,NA,NA,NA,48.9620110390694,-125.429898497967
9,28,28.9683134988992,-121,NA,NA,NA,NA,NA,48.9620049059736,-125.429888511273
9,28,28.9349482917833,-120,NA,NA,NA,NA,NA,48.9619987728768,-125.429878524581
9,28,28.9025809871959,-119,NA,NA,NA,NA,NA,48.9619926397791,-125.429868537892
9,28,28.8708468012175,-118,NA,NA,NA,NA,NA,48.9619865066806,-125.429858551205
9,28,28.8394702392629,-117,NA,NA,NA,NA,NA,48.961980373581,-125.429848564521
9,28,28.8082663007498,-116,NA,NA,NA,NA,NA,48.9619742404806,-125.42983857784
9,31,28.777049230257,-115,NA,NA,NA,NA,NA,48.9619681073793,-125.42982859116
9,31,28.7456333297865,-114,NA,NA,NA,NA,NA,48.9619619742771,-125.429818604483
9,31,28.713833770773,-113,NA,NA,NA,NA,NA,48.9619558411739,-125.429808617809
9,31,28.6814674022925,-112,NA,NA,NA,NA,NA,48.9619497080699,-125.429798631137
9,31,28.6483535519346,-111,NA,NA,NA,NA,NA,48.9619435749649,-125.429788644467
9,29,28.6143148158369,-110,NA,NA,NA,NA,NA,48.961937441859,-125.4297786578
9,29,28.579177834427,-109,NA,NA,NA,NA,NA,48.9619313087523,-125.429768671136
9,29,28.5427740504797,-108,NA,NA,NA,NA,NA,48.9619251756446,-125.429758684474
9,29,28.5049404461753,-107,NA,NA,NA,NA,NA,48.961919042536,-125.429748697814
